atomic_number,atomic_weight,melting_point,boiling_point,Radius,electronegativity
1,1.008,-259,-253,0,2.300
2,4.002602,-272,-269,0,4.160
3,6.94,180,1347,0,0.912
4,9.0121831,1278,2970,30,1.576
5,10.81,2300,2550,58,2.051
6,12.011,3500,4827,66,2.544
7,14.007,-210,-196,70,3.066
8,15.999,-218,-183,77,3.610
9,18.998403163,-220,-188,88,4.193
10,20.1797,-249,-246,89,4.789
11,22.98976928,98,883,99,0.869
12,24.305,639,1090,104,1.293
13,26.9815385,660,2467,110,1.613
14,28.085,1410,2355,114,1.916
15,30.973761998,44,280,115,2.253
16,32.06,113,445,116,2.589
17,35.45,-101,-35,116,2.869
18,39.948,-189,-186,117,3.242
19,39.0983,64,774,117,0.734
20,40.078,839,1484,117,1.034
21,44.955908,1539,2832,117,1.19
22,47.867,1660,3287,118,1.38
23,50.9415,1890,3380,121,1.53
24,51.9961,1857,2672,122,1.65
25,54.938044,1245,1962,122,1.75
26,55.845,1535,2750,123,1.80
27,58.933194,1495,2870,124,1.84
28,58.6934,1453,2732,125,1.88
29,63.546,1083,2567,125,1.85
30,65.38,420,907,125,1.59
31,69.723,30,2403,125,1.756
32,72.630,937,2830,126,1.994
33,74.921595,81,613,126,2.211
34,78.971,217,685,127,2.434
35,79.904,-7,58.8,128,2.685
36,83.798,-157,-153,128,2.966
37,85.4678,39,688,129,0.706
38,87.62,769,1384,129,0.963
39,88.90584,1523,3337,130,1.12
40,91.224,1852,4377,132,1.32
41,92.90637,2468,4927,133,1.41
42,95.95,2617,4612,134,1.47
43,97,2200,4877,134,1.51
44,101.07,2250,3900,134,1.54
45,102.90550,1966,3727,134,1.56
46,106.42,1552,2927,136,1.59
47,107.8682,962,2212,137,1.87
48,112.414,321,765,140,1.52
49,114.818,157,2000,141,1.656
50,118.710,232,2270,141,1.824
51,121.760,630,1750,142,1.984
52,127.60,449,990,144,2.158
53,126.90447,114,184,144,2.359
54,131.293,-112,-108,144,2.582
55,132.90545196,29,678,145,0.659
56,137.327,725,1140,145,0.881
57,138.90547,920,3469,150,NaN
58,140.116,795,3257,152,NaN
59,140.90766,935,3127,153,NaN
60,144.242,1010,3127,154,NaN
61,145,1100,3000,155,NaN
62,150.36,1072,1900,156,NaN
63,151.964,822,1597,156,NaN
64,157.25,1311,3233,157,NaN
65,158.92535,1360,3041,157,NaN
66,162.500,1412,2562,158,NaN
67,164.93033,1470,2720,159,NaN
68,167.259,1522,2510,159,NaN
69,168.93422,1545,1727,161,NaN
70,173.054,824,1466,162,NaN
71,174.9668,1656,3315,163,1.09
72,178.49,2150,5400,164,1.16
73,180.94788,2996,5425,165,1.34
74,183.84,3410,5660,165,1.47
75,186.207,3180,5627,165,1.60
76,190.23,3045,5027,166,1.65
77,192.217,2410,4527,169,1.68
78,195.084,1772,3827,170,1.72
79,196.966569,1064,2807,174,1.92
80,200.592,-39,357,185,1.76
81,204.38,303,1457,189,1.789
82,207.2,327,1740,192,1.854
83,208.98040,271,1560,198,2.01
84,209,254,962,203,2.19
85,210,302,337,209,2.39
86,222,-71,-62,216,2.60
87,223,27,677,235,0.67
88,226,700,1737,NaN,0.89
89,227,1050,3200,NaN,NaN
90,232.0377,1750,4790,NaN,NaN
91,231.03588,1568,NaN,NaN,NaN
92,238.02891,1132,3818,NaN,NaN
93,237,640,3902,NaN,NaN
94,244,640,3235,NaN,NaN
95,243,994,2607,NaN,NaN
96,247,1340,NaN,NaN,NaN
97,247,986,NaN,NaN,NaN
98,251,900,NaN,NaN,NaN
99,252,860,NaN,NaN,NaN
100,257,1527,NaN,NaN,NaN
