symbol,name,atomic_number,atomic_weight,melting_point,boiling_point,Radius,electronegativity
H,Hydrogen,1,1.008,-259,-253,0,2.300
He,Helium,2,4.002602,-272,-269,0,4.160
Li,Lithium,3,6.94,180,1347,0,0.912
Be,Beryllium,4,9.0121831,1278,2970,30,1.576
B,Boron,5,10.81,2300,2550,58,2.051
C,Carbon,6,12.011,3500,4827,66,2.544
N,Nitrogen,7,14.007,-210,-196,70,3.066
O,Oxygen,8,15.999,-218,-183,77,3.610
F,Fluorine,9,18.998403163,-220,-188,88,4.193
Ne,Neon,10,20.1797,-249,-246,89,4.789
Na,Sodium,11,22.98976928,98,883,99,0.869
Mg,Magnesium,12,24.305,639,1090,104,1.293
Al,Aluminum,13,26.9815385,660,2467,110,1.613
Si,Silicon,14,28.085,1410,2355,114,1.916
P,Phosphorus,15,30.973761998,44,280,115,2.253
S,Sulfur,16,32.06,113,445,116,2.589
Cl,Chlorine,17,35.45,-101,-35,116,2.869
Ar,Argon,18,39.948,-189,-186,117,3.242
K,Potassium,19,39.0983,64,774,117,0.734
Ca,Calcium,20,40.078,839,1484,117,1.034
Sc,Scandium,21,44.955908,1539,2832,117,1.19
Ti,Titanium,22,47.867,1660,3287,118,1.38
V,Vanadium,23,50.9415,1890,3380,121,1.53
Cr,Chromium,24,51.9961,1857,2672,122,1.65
Mn,Manganese,25,54.938044,1245,1962,122,1.75
Fe,Iron,26,55.845,1535,2750,123,1.80
Co,Cobalt,27,58.933194,1495,2870,124,1.84
Ni,Nickel,28,58.6934,1453,2732,125,1.88
Cu,Copper,29,63.546,1083,2567,125,1.85
Zn,Zinc,30,65.38,420,907,125,1.59
Ga,Gallium,31,69.723,30,2403,125,1.756
Ge,Germanium,32,72.630,937,2830,126,1.994
As,Arsenic,33,74.921595,81,613,126,2.211
Se,Selenium,34,78.971,217,685,127,2.434
Br,Bromine,35,79.904,-7,58.8,128,2.685
Kr,Krypton,36,83.798,-157,-153,128,2.966
Rb,Rubidium,37,85.4678,39,688,129,0.706
Sr,Strontium,38,87.62,769,1384,129,0.963
Y,Yttrium,39,88.90584,1523,3337,130,1.12
Zr,Zirconium,40,91.224,1852,4377,132,1.32
Nb,Niobium,41,92.90637,2468,4927,133,1.41
Mo,Molybdenum,42,95.95,2617,4612,134,1.47
Tc,Technetium,43,97,2200,4877,134,1.51
Ru,Ruthenium,44,101.07,2250,3900,134,1.54
Rh,Rhodium,45,102.90550,1966,3727,134,1.56
Pd,Palladium,46,106.42,1552,2927,136,1.59
Ag,Silver,47,107.8682,962,2212,137,1.87
Cd,Cadmium,48,112.414,321,765,140,1.52
In,Indium,49,114.818,157,2000,141,1.656
Sn,Tin,50,118.710,232,2270,141,1.824
Sb,Antimony,51,121.760,630,1750,142,1.984
Te,Tellurium,52,127.60,449,990,144,2.158
I,Iodine,53,126.90447,114,184,144,2.359
Xe,Xenon,54,131.293,-112,-108,144,2.582
Cs,Cesium,55,132.90545196,29,678,145,0.659
Ba,Barium,56,137.327,725,1140,145,0.881
La,Lanthanum,57,138.90547,920,3469,150,NaN
Ce,Cerium,58,140.116,795,3257,152,NaN
Pr,Praseodymium,59,140.90766,935,3127,153,NaN
Nd,Neodymium,60,144.242,1010,3127,154,NaN
Pm,Promethium,61,145,1100,3000,155,NaN
Sm,Samarium,62,150.36,1072,1900,156,NaN
Eu,Europium,63,151.964,822,1597,156,NaN
Gd,Gadolinium,64,157.25,1311,3233,157,NaN
Tb,Terbium,65,158.92535,1360,3041,157,NaN
Dy,Dysprosium,66,162.500,1412,2562,158,NaN
Ho,Holmium,67,164.93033,1470,2720,159,NaN
Er,Erbium,68,167.259,1522,2510,159,NaN
Tm,Thulium,69,168.93422,1545,1727,161,NaN
Yb,Ytterbium,70,173.054,824,1466,162,NaN
Lu,Lutetium,71,174.9668,1656,3315,163,1.09
Hf,Hafnium,72,178.49,2150,5400,164,1.16
Ta,Tantalum,73,180.94788,2996,5425,165,1.34
W,Tungsten,74,183.84,3410,5660,165,1.47
Re,Rhenium,75,186.207,3180,5627,165,1.60
Os,Osmium,76,190.23,3045,5027,166,1.65
Ir,Iridium,77,192.217,2410,4527,169,1.68
Pt,Platinum,78,195.084,1772,3827,170,1.72
Au,Gold,79,196.966569,1064,2807,174,1.92
Hg,Mercury,80,200.592,-39,357,185,1.76
Tl,Thallium,81,204.38,303,1457,189,1.789
Pb,Lead,82,207.2,327,1740,192,1.854
Bi,Bismuth,83,208.98040,271,1560,198,2.01
Po,Polonium,84,209,254,962,203,2.19
At,Astatine,85,210,302,337,209,2.39
Rn,Radon,86,222,-71,-62,216,2.60
Fr,Francium,87,223,27,677,235,0.67
Ra,Radium,88,226,700,1737,None,0.89
Ac,Actinium,89,227,1050,3200,None,NaN
Th,Thorium,90,232.0377,1750,4790,None,NaN
Pa,Protactinium,91,231.03588,1568,NaN,None,NaN
U,Uranium,92,238.02891,1132,3818,None,NaN
Np,Neptunium,93,237,640,3902,None,NaN
Pu,Plutonium,94,244,640,3235,None,NaN
Am,Americium,95,243,994,2607,None,NaN
Cm,Curium,96,247,1340,NaN,None,NaN
Bk,Berkelium,97,247,986,NaN,None,NaN
Cf,Californium,98,251,900,NaN,None,NaN
Es,Einsteinium,99,252,860,NaN,None,NaN
Fm,Fermium,100,257,1527,NaN,None,NaN
